ORF	SGD	GENENAME	logFC	unshrunk.logFC	logCPM	PValue	FDR
YFR009W	S000001905	GCN20	0.08	0.0834	7.64	1	1
YGL014W	S000002982	PUF4	0.14	0.141	7.59	1	1
YJL197W	S000003733	UBP12	-0.03	-0.0276	6.7	1	1
YDR294C	S000002702	DPL1	-0.08	-0.0769	6.79	1	1
YKL135C	S000001618	APL2	0.1	0.104	6.48	1	1
YBR015C	S000000219	MNN2	-0.3	-0.297	7.76	1	1
YDR027C	S000002434	VPS54	-0.01	-0.0133	5.99	1	1
YDR361C	S000002769	BCP1	0.41	0.41	5.81	1	1
YBR173C	S000000377	UMP1	-0.02	-0.0212	6.66	1	1
YPR198W	S000006402	SGE1	0.03	0.0258	6.31	1	1
YNL244C	S000005188	SUI1	-0.11	-0.108	8.21	1	1
YKL157W	S000001640	APE2	-0.19	-0.186	7.78	1	1
YKR001C	S000001709	VPS1	0.1	0.103	8.35	1	1
YDL134C	S000002292	PPH21	-0.11	-0.107	7.17	1	1
YHR142W	S000001184	CHS7	0.12	0.118	6.73	1	1
YDR158W	S000002565	HOM2	-0.07	-0.0677	9.07	1	1
YMR047C	S000004650	NUP116	-0.09	-0.0865	6.85	1	1
YDR394W	S000002802	RPT3	0.1	0.104	7.82	1	1
YOR299W	S000005825	BUD7	-0.04	-0.0391	6.27	1	1
YIL014W	S000001276	MNT3	0.06	0.0646	6.08	1	1
YCL064C	S000000569	CHA1	0.05	0.0494	8.95	1	1
YBR121C	S000000325	GRS1	0.3	0.298	9.61	1	1
YJR075W	S000003836	HOC1	-0.26	-0.262	6.63	1	1
YNL123W	S000005067	NMA111	0.14	0.14	7.09	1	1
YHR068W	S000001110	DYS1	0.22	0.225	8.85	1	1
YER023W	S000000825	PRO3	0.14	0.138	7.51	1	1
YDR407C	S000002815	TRS120	0.02	0.02	6.45	1	1
YOR307C	S000005834	SLY41	0.19	0.186	6.1	1	1
YGR054W	S000003286	NA	0.16	0.161	8.45	1	1
YOR085W	S000005611	OST3	-0.12	-0.122	7.73	1	1
YER005W	S000000807	YND1	-0.06	-0.0573	5.63	1	1
YPL037C	S000005958	EGD1	0.11	0.107	8.98	1	1
YGL173C	S000003141	XRN1	-0.18	-0.179	8.34	1	1
YDR434W	S000002842	GPI17	0.1	0.101	6.82	1	1
YBR265W	S000000469	TSC10	0.03	0.0266	5.83	1	1
YER166W	S000000968	DNF1	0.31	0.306	7.32	1	1
YDL137W	S000002296	ARF2	-0.2	-0.201	7.97	1	1
YOR109W	S000005635	INP53	0.02	0.0213	7	1	1
YOR231W	S000005757	MKK1	0.11	0.105	5.81	1	1
YFL038C	S000001856	YPT1	-0.07	-0.0689	7.17	1	1
YNL183C	S000005127	NPR1	-0.07	-0.0674	6.15	1	1
YFL037W	S000001857	TUB2	0.07	0.0725	9.14	1	1
YJL117W	S000003653	PHO86	0.29	0.288	7.35	1	1
YJR065C	S000003826	ARP3	-0.28	-0.276	8.08	1	1
YAL016W	S000000014	TPD3	-0.23	-0.227	8.04	1	1
YGR186W	S000003418	TFG1	-0	-0.00363	5.99	1	1
YJR015W	S000003776	NA	0.17	0.17	6.82	1	1
YJL183W	S000003719	MNN11	0.27	0.267	7.3	1	1
YGR210C	S000003442	NA	-0.14	-0.143	6.69	1	1
YOR209C	S000005735	NPT1	0.03	0.0319	6.55	1	1
YOL097C	S000005457	WRS1	0.28	0.277	7.97	1	1
YOR311C	S000005838	DGK1	-0.09	-0.0923	7	1	1
YDR420W	S000002828	HKR1	0.12	0.12	6.12	1	1
YJL207C	S000003743	LAA1	-0.07	-0.0727	6.88	1	1
YHR051W	S000001093	COX6	-0.17	-0.167	7.28	1	1
YBL076C	S000000172	ILS1	0.27	0.271	10	1	1
YLR144C	S000004134	ACF2	0.08	0.076	5.97	1	1
YGR082W	S000003314	TOM20	0.07	0.0743	7.04	1	1
YER008C	S000000810	SEC3	-0.02	-0.0168	6.84	1	1
YBL037W	S000000133	APL3	-0.15	-0.151	6.09	1	1
YER087C-B	S000002128	SBH1	-0.06	-0.0629	6.66	1	1
YLR088W	S000004078	GAA1	-0.04	-0.0404	6.35	1	1
YDL236W	S000002395	PHO13	0.11	0.113	6.31	1	1
YJL225C	S000003760	NA	-0.19	-0.187	7.4	1	1
YJL174W	S000003710	KRE9	-0.15	-0.148	6.85	1	1
YMR212C	S000004825	EFR3	0.12	0.115	6.9	1	1
YMR221C	S000004834	FMP42	0.04	0.0445	7.03	1	1
YPL048W	S000005969	CAM1	-0.09	-0.0906	7.86	1	1
YPL135W	S000006056	ISU1	0.09	0.0903	6.68	1	1
YLR370C	S000004362	ARC18	-0.06	-0.0614	5.94	1	1
YML001W	S000004460	YPT7	0.08	0.083	6.49	1	1
YMR024W	S000004626	MRPL3	0.17	0.168	6.6	1	1
YHR163W	S000001206	SOL3	0.03	0.0339	6.53	1	1
YJR040W	S000003801	GEF1	-0.12	-0.121	6.32	1	1
YLR084C	S000004074	RAX2	-0.09	-0.0931	5.99	1	1
YLR268W	S000004258	SEC22	0.04	0.0427	5.98	1	1
YGL129C	S000003097	RSM23	0.02	0.02	6.42	1	1
YPL179W	S000006100	PPQ1	0.13	0.133	8.71	1	1
YBR202W	S000000406	MCM7	0.09	0.0862	6.1	1	1
YER113C	S000000915	TMN3	0.12	0.12	6.25	1	1
YAR042W	S000000081	SWH1	-0.04	-0.0416	6.34	1	1
YBR133C	S000000337	HSL7	0.18	0.184	6.83	1	1
YOL049W	S000005409	GSH2	0.02	0.0234	7.13	1	1
YKL176C	S000001659	LST4	-0.02	-0.0208	6.91	1	1
YLR351C	S000004343	NIT3	0.07	0.0659	6.34	1	1
YPL265W	S000006186	DIP5	0.09	0.0945	9.78	1	1
YER107C	S000000909	GLE2	0.2	0.202	6.18	1	1
YLR043C	S000004033	TRX1	-0.09	-0.0927	7.44	1	1
YDR093W	S000002500	DNF2	0.22	0.225	7.77	1	1
YHR181W	S000001224	SVP26	-0.02	-0.0202	6.24	1	1
YLL031C	S000003954	GPI13	0.08	0.0825	7.37	1	1
YNL190W	S000005134	NA	0.13	0.128	8.34	1	1
YLR224W	S000004214	UCC1	-0.08	-0.0832	5.79	1	1
YFL009W	S000001885	CDC4	-0.11	-0.106	6.41	1	1
YDL052C	S000002210	SLC1	-0.04	-0.043	7.44	1	1
YBR283C	S000000487	SSH1	0.17	0.174	9.38	1	1
YJL060W	S000003596	BNA3	-0.05	-0.0457	6.67	1	1
YOR197W	S000005723	MCA1	0.12	0.125	6.82	1	1
YGL238W	S000003207	CSE1	0.07	0.0739	8.15	1	1
YOR039W	S000005565	CKB2	0.14	0.142	6.68	1	1
YMR079W	S000004684	SEC14	0.15	0.152	7.85	1	1
YFL005W	S000001889	SEC4	0.17	0.166	6.69	1	1
YFL048C	S000001846	EMP47	0.09	0.088	6.82	1	1
YBL041W	S000000137	PRE7	-0.09	-0.0899	7.05	1	1
YBR049C	S000000253	REB1	-0.02	-0.0193	6.54	1	1
YNL101W	S000005045	AVT4	-0.06	-0.064	6.87	1	1
YKL010C	S000001493	UFD4	-0.1	-0.0986	6.74	1	1
YER089C	S000000891	PTC2	0.01	0.0129	6.78	1	1
YPL176C	S000006097	TRE1	-0.07	-0.0709	5.8	1	1
YDR519W	S000002927	FPR2	-0.01	-0.0097	6.07	1	1
YDR135C	S000002542	YCF1	0.23	0.227	8.29	1	1
YPL208W	S000006129	RKM1	-0.06	-0.0585	5.89	1	1
YDL171C	S000002330	GLT1	0.06	0.0592	8.43	1	1
YJR009C	S000003769	TDH2	0	0.00148	14	1	1
YKL034W	S000001517	TUL1	0.04	0.04	5.99	1	1
YMR012W	S000004614	CLU1	0.09	0.0865	9.02	1	1
YBR143C	S000000347	SUP45	0.12	0.121	8.77	1	1
YMR237W	S000004850	BCH1	-0.1	-0.0955	7.08	1	1
YER021W	S000000823	RPN3	0.03	0.0272	7.96	1	1
YER156C	S000000958	NA	0.08	0.0788	6.94	1	1
YLR371W	S000004363	ROM2	-0.13	-0.128	6.49	1	1
YMR238W	S000004851	DFG5	0.13	0.127	6.46	1	1
YPR023C	S000006227	EAF3	-0.05	-0.0472	5.87	1	1
YEL001C	S000000727	IRC22	0.19	0.192	7.54	1	1
YDL084W	S000002242	SUB2	0.28	0.283	9.21	1	1
YDL047W	S000002205	SIT4	-0.06	-0.0618	6.18	1	1
YPR004C	S000006208	AIM45	0.06	0.0638	6.93	1	1
YJL192C	S000003728	SOP4	0.07	0.0742	6.77	1	1
YOR171C	S000005697	LCB4	-0.12	-0.12	6.02	1	1
YML059C	S000004524	NTE1	-0.16	-0.163	8.22	1	1
YDR017C	S000002424	KCS1	0.01	0.00663	6.3	1	1
YNL108C	S000005052	NA	0.02	0.0151	6.31	1	1
YGR106C	S000003338	VOA1	0.1	0.103	8.66	1	1
YDL015C	S000002173	TSC13	-0.05	-0.049	8.14	1	1
YNL197C	S000005141	WHI3	0.06	0.0605	7.66	1	1
YGL142C	S000003110	GPI10	-0.05	-0.0537	6.65	1	1
YBL105C	S000000201	PKC1	0.07	0.066	6.55	1	1
YMR129W	S000004736	POM152	0.23	0.228	7.5	1	1
YNL005C	S000004950	MRP7	0	0.00261	6.33	1	1
YGL161C	S000003129	YIP5	-0.1	-0.0963	6.13	1	1
YDR105C	S000002512	TMS1	-0.14	-0.144	6.38	1	1
YNR021W	S000005304	NA	0.23	0.226	8.35	1	1
YDL212W	S000002371	SHR3	0.14	0.139	7.52	1	1
YHR024C	S000001066	MAS2	0.06	0.065	6.56	1	1
YOR002W	S000005528	ALG6	-0.09	-0.0943	7.87	1	1
YIL129C	S000001391	TAO3	-0.13	-0.13	7.19	1	1
YKL174C	S000001657	TPO5	-0.11	-0.108	6.16	1	1
YDR400W	S000002808	URH1	-0.07	-0.0746	8.21	1	1
YDR457W	S000002865	TOM1	0.05	0.0467	7.69	1	1
YDR212W	S000002620	TCP1	0.16	0.158	8.09	1	1
YNR013C	S000005296	PHO91	0.02	0.019	7.78	1	1
YKL145W	S000001628	RPT1	0.03	0.028	7.37	1	1
YNL288W	S000005232	CAF40	-0.02	-0.0168	7.07	1	1
YNL026W	S000004971	SAM50	0.11	0.115	6.04	1	1
YPR016C	S000006220	TIF6	0.15	0.152	8.62	1	1
YGR218W	S000003450	CRM1	-0.03	-0.0309	8.54	1	1
YKL206C	S000001689	ADD66	-0.05	-0.046	5.63	1	1
YLR430W	S000004422	SEN1	0.1	0.0991	7.19	1	1
YML124C	S000004593	TUB3	0.2	0.205	7.47	1	1
YPL190C	S000006111	NAB3	0.1	0.101	7.03	1	1
YBR246W	S000000450	RRT2	0.07	0.0723	6.06	1	1
YDR011W	S000002418	SNQ2	-0.08	-0.0769	8.58	1	1
YML031W	S000004493	NDC1	0.2	0.204	6.9	1	1
YBR011C	S000000215	IPP1	0.03	0.0255	10.3	1	1
YCL011C	S000000517	GBP2	0.08	0.0791	7.18	1	1
YGR028W	S000003260	MSP1	0.02	0.0234	5.68	1	1
YDR341C	S000002749	NA	0.18	0.177	8.83	1	1
YIL039W	S000001301	TED1	0.23	0.235	7.15	1	1
YDR237W	S000002645	MRPL7	-0.02	-0.0177	6.06	1	1
YDR483W	S000002891	KRE2	-0.22	-0.225	8	1	1
YAL023C	S000000021	PMT2	0.02	0.024	10.1	1	1
YKL213C	S000001696	DOA1	-0.03	-0.0273	6.82	1	1
YFR024C-A	S000002968	LSB3	-0.13	-0.126	6.63	1	1
YCR053W	S000000649	THR4	0.19	0.192	9.24	1	1
YLR286C	S000004276	CTS1	-0	-0.00462	9.18	1	1
YLL018C	S000003941	DPS1	0.09	0.0855	9.02	1	1
YOR320C	S000005847	GNT1	0.14	0.141	6.44	1	1
YPL137C	S000006058	GIP3	0.08	0.0824	6.69	1	1
YIL076W	S000001338	SEC28	-0.01	-0.00919	6.96	1	1
YKL126W	S000001609	YPK1	-0.06	-0.0573	7.71	1	1
YDR044W	S000002451	HEM13	-0.01	-0.0126	6.05	1	1
YDL190C	S000002349	UFD2	0.07	0.066	7.15	1	1
YGR227W	S000003459	DIE2	-0.06	-0.0564	6.44	1	1
YHL007C	S000000999	STE20	0.11	0.109	7.09	1	1
YER094C	S000000896	PUP3	-0.07	-0.0715	7.32	1	1
YGR100W	S000003332	MDR1	-0.01	-0.0138	6.11	1	1
YPR063C	S000006267	NA	-0.1	-0.102	6.64	1	1
YDR266C	S000002674	HEL2	0.02	0.0176	6.77	1	1
YJL111W	S000003647	CCT7	0.1	0.0957	8.21	1	1
YOR270C	S000005796	VPH1	0.04	0.0366	10.4	1	1
YLR199C	S000004189	PBA1	0.01	0.0137	5.7	1	1
YDR205W	S000002613	MSC2	0.01	0.00603	6.3	1	1
YDR062W	S000002469	LCB2	0.12	0.118	8.53	1	1
YOL031C	S000005391	SIL1	-0	-0.00131	6.7	1	1
YHL015W	S000001007	RPS20	0.1	0.104	10.6	1	1
YNL297C	S000005241	MON2	0.03	0.029	6.78	1	1
YJL039C	S000003576	NUP192	0.08	0.078	7.97	1	1
YKR028W	S000001736	SAP190	0.07	0.0667	6.97	1	1
YER120W	S000000922	SCS2	0.12	0.121	8.07	1	1
YDR261C	S000002669	EXG2	-0.16	-0.163	6.99	1	1
YBL067C	S000000163	UBP13	0.01	0.0124	6.22	1	1
YDL143W	S000002302	CCT4	0.22	0.22	8.33	1	1
YDL224C	S000002383	WHI4	-0	-0.00237	6.66	1	1
YBR080C	S000000284	SEC18	0.1	0.0995	7.51	1	1
YMR072W	S000004676	ABF2	-0.16	-0.162	6.64	1	1
YML115C	S000004583	VAN1	0.11	0.106	6.91	1	1
YLR293C	S000004284	GSP1	0.04	0.0449	9.79	1	1
YJL001W	S000003538	PRE3	-0.08	-0.0814	7.27	1	1
YML048W	S000004511	GSF2	-0.14	-0.136	8.34	1	1
YLR089C	S000004079	ALT1	-0.11	-0.111	7.49	1	1
YDL231C	S000002390	BRE4	0.22	0.216	7.57	1	1
YNL189W	S000005133	SRP1	0.17	0.17	8.08	1	1
YJR064W	S000003825	CCT5	0.13	0.13	8.14	1	1
YNL168C	S000005112	FMP41	-0.02	-0.0208	5.67	1	1
YER090W	S000000892	TRP2	0.07	0.0742	6.66	1	1
YDL111C	S000002269	RRP42	0.05	0.0542	6.43	1	1
YIL142W	S000001404	CCT2	0.15	0.146	8.12	1	1
YLR429W	S000004421	CRN1	0.1	0.103	8.12	1	1
YMR162C	S000004772	DNF3	0.04	0.0383	6.3	1	1
YDL145C	S000002304	COP1	-0.08	-0.0808	9.18	1	1
YDR226W	S000002634	ADK1	0.16	0.163	9.01	1	1
YER003C	S000000805	PMI40	0.05	0.0522	9.25	1	1
YHR165C	S000001208	PRP8	-0.06	-0.0628	7.1	1	1
YNL131W	S000005075	TOM22	-0.06	-0.0602	6.87	1	1
YHR037W	S000001079	PUT2	-0.1	-0.102	6.86	1	1
YLR229C	S000004219	CDC42	-0.04	-0.039	7.3	1	1
YHR190W	S000001233	ERG9	-0.16	-0.161	8.57	1	1
YDR368W	S000002776	YPR1	-0.05	-0.0518	7.21	1	1
YOR286W	S000005812	RDL2	0.02	0.0159	5.9	1	1
YNL219C	S000005163	ALG9	-0.03	-0.0339	8.09	1	1
YNL010W	S000004955	NA	0.05	0.0515	7.46	1	1
YCR037C	S000000633	PHO87	-0.13	-0.128	7.44	1	1
YGL213C	S000003181	SKI8	0.07	0.0656	6.47	1	1
YJL002C	S000003539	OST1	0.09	0.0913	9	1	1
YKL152C	S000001635	GPM1	-0.01	-0.0141	13	1	1
YCL001W	S000000507	RER1	0.05	0.0525	6.55	1	1
YGL245W	S000003214	GUS1	0.09	0.0862	9.39	1	1
YGR037C	S000003269	ACB1	0.11	0.115	7.69	1	1
YLR447C	S000004439	VMA6	0.23	0.228	8.49	1	1
YKL212W	S000001695	SAC1	0.14	0.138	8.12	1	1
YDL007W	S000002165	RPT2	0.04	0.0354	7.77	1	1
YDR518W	S000002926	EUG1	-0.05	-0.0511	7.32	1	1
YLR163C	S000004153	MAS1	-0	-0.00373	5.91	1	1
YNL130C	S000005074	CPT1	0.07	0.0679	8.05	1	1
YMR208W	S000004821	ERG12	0.17	0.171	7.03	1	1
YLR028C	S000004018	ADE16	-0.16	-0.158	7.92	1	1
YHR073W	S000001115	OSH3	-0.05	-0.0491	7.14	1	1
YPL094C	S000006015	SEC62	-0.11	-0.111	7.55	1	1
YBL050W	S000000146	SEC17	-0.02	-0.0228	6.19	1	1
YEL021W	S000000747	URA3	0	0.00212	5.83	1	1
YML057W	S000004521	CMP2	-0.06	-0.0643	6.92	1	1
YMR171C	S000004781	EAR1	-0.03	-0.0335	6.08	1	1
YNL236W	S000005180	SIN4	-0.01	-0.00766	6.6	1	1
YNR052C	S000005335	POP2	0.01	0.0128	6.34	1	1
YEL036C	S000000762	ANP1	-0.05	-0.05	6.89	1	1
YGR217W	S000003449	CCH1	0.01	0.0114	5.86	1	1
YDL188C	S000002347	PPH22	-0.16	-0.159	6.89	1	1
YDR143C	S000002550	SAN1	0.03	0.0348	6.8	1	1
YPR069C	S000006273	SPE3	-0.05	-0.05	8.61	1	1
YNR035C	S000005318	ARC35	-0.13	-0.13	7.04	1	1
YMR083W	S000004688	ADH3	0.02	0.0247	8.78	1	1
YKL203C	S000001686	TOR2	-0.01	-0.0123	6.58	1	1
YGL094C	S000003062	PAN2	-0.01	-0.00938	6.67	1	1
YHR108W	S000001150	GGA2	0.05	0.0542	7.77	1	1
YNL243W	S000005187	SLA2	-0.07	-0.0737	7	1	1
YOL098C	S000005458	SDD3	0.13	0.129	7.5	1	1
YNL049C	S000004994	SFB2	0.11	0.106	6.63	1	1
YCL017C	S000000522	NFS1	-0.04	-0.042	7.36	1	1
YOL036W	S000005396	NA	0.01	0.0133	6.86	1	1
YER114C	S000000916	BOI2	0.01	0.00519	6.62	1	1
YML092C	S000004557	PRE8	0.05	0.0482	7.37	1	1
YDR188W	S000002596	CCT6	0.08	0.0808	7.81	1	1
YGR199W	S000003431	PMT6	0.03	0.0297	6.83	1	1
YJL029C	S000003566	VPS53	-0.01	-0.008	6.12	1	1
YFR050C	S000001946	PRE4	-0.03	-0.0326	7.68	1	1
YAL021C	S000000019	CCR4	0.04	0.0411	7.04	1	1
YHR074W	S000001116	QNS1	0.02	0.0245	7.37	1	1
YDR454C	S000002862	GUK1	0.12	0.118	7.59	1	1
YML007W	S000004466	YAP1	0.01	0.00725	6.78	1	1
YGL100W	S000003068	SEH1	0.07	0.0747	6.51	1	1
YDR264C	S000002672	AKR1	-0.07	-0.067	7.02	1	1
YOL052C	S000005412	SPE2	0.02	0.0175	6.54	1	1
YGL011C	S000002979	SCL1	0.06	0.0554	7.15	1	1
YIL048W	S000001310	NEO1	-0.06	-0.0555	7.22	1	1
YEL063C	S000000789	CAN1	0.06	0.0584	7.41	1	1
YOR157C	S000005683	PUP1	0.07	0.0747	7.17	1	1
YLR354C	S000004346	TAL1	-0.09	-0.0947	9.85	1	1
YMR200W	S000004813	ROT1	0.03	0.0319	6.42	1	1
YMR314W	S000004931	PRE5	0.08	0.0806	7.27	1	1
YHR009C	S000001051	TDA3	-0.05	-0.05	7.11	1	1
YEL033W	S000000759	MTC7	0.09	0.0878	10.1	1	1
YOR007C	S000005533	SGT2	-0.09	-0.089	8.04	1	1
YGL137W	S000003105	SEC27	-0.08	-0.0766	8.56	1	1
YOR164C	S000005690	GET4	0.01	0.00648	6.22	1	1
YDR238C	S000002646	SEC26	0.04	0.0387	8.81	1	1
YBR025C	S000000229	OLA1	-0.12	-0.116	9.95	1	1
YGR178C	S000003410	PBP1	-0.1	-0.1	7.44	1	1
YBR074W	S000000278	PFF1	0.13	0.129	7.47	1	1
YPR103W	S000006307	PRE2	0.06	0.057	7.51	1	1
YGR014W	S000003246	MSB2	-0.01	-0.00676	7.56	1	1
YDR141C	S000002548	DOP1	0.04	0.0387	6.8	1	1
YDR497C	S000002905	ITR1	-0.07	-0.0701	8.48	1	1
YPL145C	S000006066	KES1	-0.09	-0.0909	8.88	1	1
YDR170C	S000002577	SEC7	0.03	0.0333	7.46	1	1
YDR349C	S000002757	YPS7	0.06	0.061	7.26	1	1
YBL002W	S000000098	HTB2	0.05	0.0513	8.38	1	1
YKL046C	S000001529	DCW1	0.05	0.0535	7.23	1	1
YGR165W	S000003397	MRPS35	0.02	0.021	6.2	1	1
YML038C	S000004502	YMD8	0	0.0027	5.93	1	1
YGR175C	S000003407	ERG1	0.05	0.0515	9.11	1	1
YHR078W	S000001120	NA	-0.02	-0.0217	5.96	1	1
YMR191W	S000004803	SPG5	0.01	0.00522	6.81	1	1
YMR099C	S000004705	NA	0.03	0.0331	7.29	1	1
YDR487C	S000002895	RIB3	0.03	0.0285	6.79	1	1
YIL137C	S000001399	TMA108	-0.04	-0.0407	7.17	1	1
YMR243C	S000004856	ZRC1	-0.01	-0.0143	8.76	1	1
YDL100C	S000002258	GET3	0.07	0.0744	8.22	1	1
YML085C	S000004550	TUB1	0.03	0.0346	8.35	1	1
YNL016W	S000004961	PUB1	0.03	0.0301	8.31	1	1
YAL007C	S000000005	ERP2	0.09	0.0914	8.04	1	1
YDL029W	S000002187	ARP2	-0.04	-0.0352	7.56	1	1
YOL057W	S000005418	NA	-0.08	-0.0839	7.99	1	1
YGL048C	S000003016	RPT6	-0	-0.00246	7.83	1	1
YPR097W	S000006301	NA	-0	-0.00164	6.3	1	1
YKL104C	S000001587	GFA1	0.05	0.0466	8.35	1	1
YGL019W	S000002987	CKB1	0.04	0.0368	6.43	1	1
YHR132C	S000001174	ECM14	-0.11	-0.105	7.12	1	1
YBR041W	S000000245	FAT1	-0.14	-0.139	7.51	1	1
YJL178C	S000003714	ATG27	-0.03	-0.033	6.51	1	1
YDR404C	S000002812	RPB7	-0.02	-0.0194	6.73	1	1
YHR098C	S000001140	SFB3	0.05	0.0501	8.46	1	1
YJR048W	S000003809	CYC1	0.07	0.0688	8.37	1	1
YOR117W	S000005643	RPT5	0.03	0.0329	7.63	1	1
YMR149W	S000004757	SWP1	-0.02	-0.0173	8.25	1	1
YMR295C	S000004910	NA	-0.01	-0.00525	6.42	1	1
YAR002C-A	S000002129	ERP1	-0.01	-0.0069	8.08	1	1
YIL041W	S000001303	GVP36	-0.03	-0.0263	7.31	1	1
YLL015W	S000003938	BPT1	-0.05	-0.0543	7.26	1	1
YBR205W	S000000409	KTR3	0.03	0.0267	6.95	1	1
YLL048C	S000003971	YBT1	0.05	0.0502	8.9	1	1
YPL023C	S000005944	MET12	0.02	0.0199	6.45	1	1
YGL167C	S000003135	PMR1	-0.08	-0.0762	8.76	1	1
YMR054W	S000004658	STV1	-0.11	-0.109	8.1	1	1
YPL010W	S000005931	RET3	0.02	0.0249	7.3	1	1
YLR389C	S000004381	STE23	-0.05	-0.0514	7.96	1	1
YKL033W-A	S000007242	NA	-0.05	-0.0523	7.14	1	1
YKL080W	S000001563	VMA5	0.04	0.0352	8.63	1	1
YOR165W	S000005691	SEY1	0.03	0.0323	6.79	1	1
YDR326C	S000002734	YSP2	-0	-4.57e-4	7.43	1	1
YIL078W	S000001340	THS1	0.05	0.0463	9.59	1	1
YPR114W	S000006318	NA	0	0.00335	6.98	1	1
YGR184C	S000003416	UBR1	-0.02	-0.0233	7.91	1	1
YNL330C	S000005274	RPD3	-0.01	-0.00918	6.1	1	1
YLR208W	S000004198	SEC13	0.03	0.0262	7.66	1	1
YKL039W	S000001522	PTM1	0.08	0.0845	7.97	1	1
YCL057W	S000000562	PRD1	-0	-0.00456	8.23	1	1
YCR017C	S000000610	CWH43	-0	-0.00108	8.4	1	1
YLR347C	S000004339	KAP95	-0	-0.00286	8.01	1	1
YNL238W	S000005182	KEX2	-0.01	-0.00758	6.73	1	1
YMR275C	S000004888	BUL1	0	9.04e-5	5.89	1	1
YPL115C	S000006036	BEM3	-0	-4.64e-4	6.39	1	1
YDR346C	S000002754	SVF1	-0	-0.00427	7.16	1	1
YOR362C	S000005889	PRE10	-0.01	-0.00895	7.43	1	1
YHR027C	S000001069	RPN1	-0.01	-0.00509	8.58	1	1
YEL002C	S000000728	WBP1	0.07	0.0688	8.44	1	1
YIL075C	S000001337	RPN2	-0	-0.0024	8.89	1	1
YBR109C	S000000313	CMD1	-0	-0.00266	7.43	1	1
YIL030C	S000001292	SSM4	-0	-0.00353	8.31	1	1
YKL077W	S000001560	NA	-0.04	-0.0389	7.39	1	1
YOR175C	S000005701	ALE1	-0.01	-0.0137	7.07	1	1
YEL052W	S000000778	AFG1	-0	-6.76e-4	5.84	1	1
YBR159W	S000000363	IFA38	-0.01	-0.0112	7.57	1	1
YER036C	S000000838	ARB1	-0	-0.0033	9.28	1	1
YOR254C	S000005780	SEC63	-0	-7.52e-4	8.31	1	1
YER105C	S000000907	NUP157	-0	-0.00203	7.48	1	1
YBL040C	S000000136	ERD2	0	2.91e-4	7.01	1	1
YCL045C	S000000550	EMC1	-0	-8.09e-4	8.38	1	1
YLR301W	S000004292	HRI1	-0	-4.76e-4	7.65	1	1
